no,romaji,kana,kanji,meaning_mm
5848,tsutomusaki,つとむさき,勤先,အလုပ်လုပ်သောနေရာ
5849,tsutomete,つとめて,務めて,တတ်နိုင်သလောက်လုပ်သည်
5850,tsutomeru,つとめる,努める,ကြိုးစားအားထုတ်သည်
5851,tsutomeru,つとめる,勤める,အလုပ်လုပ်သည်
5852,tsutomeru,つとめる,務める,တာဝန်ထမ်းဆောင်သည်
5853,tsuna,つな,綱,ကြိုး
5854,tsunagari,つながり,繋がり,ဆက်စပ်ခြင်း
5855,tsunagaru,つながる,繋がる,ဆက်စပ်သည်
5856,tsunagu,つなぐ,繋ぐ,ဆက်သည််
5857,tsunageru,つなげる,繋げる,ဆက်အောင်လုပ်သည်
5858,tsunami,つなみ,津波,ဒီရေလှိုင်း၊ မြေငလျှင်ကြောင့်ဖြစ်သည့်လှိုင်းကြီး
5859,tsune,つね,常,ပုံမှန်၊ သာမာန်၊ မထူးဆန်းသော
5860,tsuneni,つねに,常に,အမြဲ
5861,tsuneru,つねる,抓る,ဆွဲစိတ်သည်
5862,tsuno,つの,角,ဦးချို
5863,tsunoru,つのる,募る,လျှောက်လွှာခေါ်သည်
5864,tsuba,つば,唾,တံတွေး
5865,tsubasa,つばさ,翼,တောင်ပံ
5866,tsubame,つばめ,燕,ပျံလွှား
5867,tsubu,つぶ,粒,အစေ့
5868,tsubusu,つぶす,潰す,ဖြိုခွဲသည်၊ ဖျက်ဆီးသည်၊ အသုံးမဝင်အောင်လုပ်သည်
5869,tsubuyaku,つぶやく,呟く,တီးတိုးပြောသည်
5870,tsubura(na),つぶら（な）,,လုံးဝန်း၍ချစ်စရာကောင်းသော
5871,tsuburu,つぶる,瞑る「目を〜」,မျက်စိမှိတ်သည်
5872,tsubureru,つぶれる,,ပြုံးသည်
5873,tsubo,つぼ,壺,အိုး
5874,tsubomi,つぼみ,蕾,အဖူးအငုံ
5875,tsuma,つま,妻,ဇနီးသည်(မိမိ၏)
5876,tsumasaki,つまさき,爪先,ခြေဖျား
5877,tsumazuku,つまずく,,ခလုပ်တိုက်သည်
5878,tsumamu,つまむ,,ညှပ်ယူသည်
5879,tsumaranai,つまらない,,ငြီးငွေ့စရာကောင်းသော
5880,tsumari,つまり,,တနည်းအားဖြင့်၊ အတိုချုပ်ရင်း
5881,tsumaru,つまる,詰まる,ပိတ်ဆို့သည်
5882,tsumi,つみ,罪,အပြစ်
5883,tsumu,つむ,積む,ပုံံသည်၊ စုပုံသည်
5884,tsumamu,つまむ,摘む,ဖူးသည်
5885,tsume,つめ,爪,လက်သည်း
5886,tsumetai,つめたい,冷たい,အေးသော
5887,tsumeru,つめる,詰める,အပြည့်ထည့်သည်၊ သွတ်သွင်းသည်
5888,tsumori,つもり,,စိတ်ကူးဆန္ဒ
5889,tsumoru,つもる,積もる,စုပုံသည်
5890,tsuya,つや,,ချောမွတ်တောက်ပခြင်း
5891,tsuyu,つゆ,露,နှင်းပေါက်နှင်းရည်
5892,tsuyu,つゆ,梅雨,မိုးရာသီ
5893,tsuyoi,つよい,強い,အားကောင်းသော
5894,tsuyoki,つよき,強気,စိတ််အားပြင်းခြင်း
5895,tsuyomaru,つよまる,強まる,အားပြင်းသည်
5896,tsuyomeru,つよめる,強める,အားပြင်းစေသည်
5897,tsurai,つらい,辛い,စိတ်ပင်ပန်းသော၊ စိတ်ဆင်းရဲသော
5898,〜zurai,〜づらい,,...လုပ်ရခက်သော
5899,tsuranaru,つらなる,連なる,တစီတတန်းတည်းဖြစ်သည်
5900,tsuranuku,つらぬく,貫く,ဆုံးခန်းတိုင်အောင်ပြုလုပ်သည်၊ ချဥ်းနင်းဝင်းရောက်သည်
5901,tsuraneru,つらねる,連ねる,စီတန်းသည်
5902,tsuri,つり,釣り,ငါးမျှားခြင်း
5903,tsuriau,つりあう,釣り合う,မျှတသည်၊ ညီမျှသည်
5904,tsurigane,つりがね,釣鐘,ဆွဲဲခေါင်းလောင်း
5905,tsurikawa,つりかわ,吊革,လက်ကိုင်ကွင်း
5906,tsurisen,つりせん,釣り戦,ပြန်အမ်းငွေ
5907,tsuru,つる,吊る,ချိတ်ဆွဲသည်
5908,tsuru,つる,鶴,ကြိုးကြာငှက်
5909,tsuru,つる,釣る,ငါးမျှားသည်
5910,tsurusu,つるす,吊す,ချိတ်ဆွဲသည်
5911,tsure,つれ,連れ,အဖော်
5912,tsureru,つれる,連れる,အဖော်ခေါ်သည်
5913,te,て,手,လက်
5914,deau,であう,出合う,စတွေ့သည်
5915,teatarishidai,てあたりしだい,手当り次第,တွေ့ရာမြင်ရာ
5916,teate,てあて,手当て,လုပ်ခ၊ ဆေးကုသခြင်း
5917,tearai,てあらい,手洗い,အိမ်သာ၊ လက်ဆေးခြင်း
5918,teian(suru),ていあん（する）,提案（する）,အဆိုတင်သွင်းချက်
5919,teiin,ていいん,定員,ပုံသေဦးရေ
5920,teika,ていか,定価,ပုံသေစျေးနှုန်း
5921,teika(suru),ていか（する）,低下（する）,ကျဆင်းမှု
5922,teiki,ていき,定期,ပုံမှန််ကာလ၊ လပေးလက်မှတ်
5923,teigi(suru),ていぎ（する）,定義（する）,အဓိပ္ပါယ်သတ်မှတ်ချက်
5924,teikiatsu,ていきあつ,低気圧,လေဖိအားနိမ့်ရပ်ဝန်း
5925,teikiken,ていきけん,定期券,လပေးလက်မှတ်
5926,teikishiken,ていきしけん,定期試験,ပုံမှန်စာမေးပွဲ
5927,teikyūbi,ていきゅうび,定休日,ပိတ်ရက်၊ ပုံသေပိတ်ရက်
5928,teikyō(suru),ていきょう（する）,提供（する）,ပေးအပ်ခြင်း၊ ထောက်ပံ့ခြင်း
5929,teikei(suru),ていけい（する）,提携（する）,အကျိုးတူပူးတွဲလုပ်သည်
5930,teiketsu(suru),ていけつ（する）,締結（する）,စာချုပ်ချုပ်ခြင်း
5931,teiketsuatsu,ていけつあつ,低血圧,သွေးအားနည်းခြင်း
5932,teikō(suru),ていこう（する）,抵抗（する）,ခုခံခြင်း၊ ဆန့်ကျင်ချင်သည့်စိတ်
5933,teisai,ていさい,体裁,ပုံပန်းသဏ္ဍန်၊ အပြင်ပန်း
5934,teishi(suru),ていし（する）,停止（する）,ရပ်တန့်ခြင်း
5935,teiji/teiji(suru),ていじ／ていじ（する）,定時／提示（する）,ပေးအပ််ခြင်း၊ တင်ပြခြင်း၊ ပြသခြင်း
5936,teisha(suru),ていしゃ（する）,停車（する）,ကားရပ်ခြင်း၊ ရထားရပ်ခြင်း
5937,teishu,ていしゅ,亭主,အိမ်ရှင်၊ အိမ်ထောင်ဦးစီး၊ ခင်ပွန်း
5938,teishutsu(suru),ていしゅつ（する）,提出（する）,တင်ပြသည်၊ ထပ်သည်
5939,teishoku,ていしょく,定食,ပုံသေထမင်းဟင်း
5940,teishoku,ていしょく,定職,ပုံမှန်အလုပ်
5941,deisui(suru),でいすい（する）,泥酔（する）,အရက်အမူးလွန်ခြင်း
5942,disukasshon,ディスカッション,discussion,ဆွေးနွေးခြင်း
5943,disuko,ディスコ,disco,ဒစ်စကို
5944,teisei(suru),ていせい（する）,訂正（する）,အမှားပြင်ခြင်း
5945,teitai(suru),ていたい（する）,停滞（する）,နှောင့်နှေးခြင်း၊ မရွေ့ရှားခြင်း
5946,teitaku,ていたく,邸宅,အိမ်ကြီးအိမ်ကောင်း၊ လုံးချင်းအိမ်
5947,teichaku(suru),ていちゃく（する）,定着（する）,အခြေချနေထိုင်ခြင်း၊ တည်မြဲလာခြင်း
5948,teichō(na),ていちょう（な）,低調（な）,တက်ကြွမှုမမရှိခြင်း၊ မတွင်ကျယ်ခြင်း၊ ထိုင်းမှိုင်းခြင်း
5949,tisshupēpā,ティッシュペーパー,tissue paper,တစ်ရှူးစက္ကူ
5950,teiden(suru),ていでん（する）,停電（する）,မီးပျက်ခြင်း
5951,teido,ていど,程度,အတိုင်းအတာ
5952,teinei(na),ていねい（な）,丁寧（な）,ပျူငှာသော၊ ယဥ်ကျေးသော
5953,teinen,ていねん,定年,ပင်စင်ယူရန်အသက်အရွယ်
5954,teihyō,ていひょう,定評,ဂုဏ်သတင်း
5955,dibēto,ディベート,debate,စကားရည်လုပွဲ
5956,teihen,ていへん,底辺,အောက်ခြေ၊ အောက်တန်းစား
5957,teibō,ていぼう,堤防,တာရိုး၊ တာတမံ
5958,deiri(suru),でいり（する）,出入り（する）,ဝင်ထွက်ခြင်း
5959,deiriguchi,でいりぐち,出入り口,အဝင်အထွက်ပေါက်
5960,teiryūjo,ていりゅうじょ,停留所,ဘတ်စ်ကားမှတ်တိုင်
5961,teire,ていれ,手入れ,ပြုံစုပျိုးထောင်ခြင်း
5962,dēta,データ,data,အချက်အလက်
5963,dēto,デート,date,ချိန်းတွေ့ခြင်း
5964,tēpu,テープ,tape,တိတ်(ကတ်ဆက်တိတ်)
5965,tēburu,テーブル,table,စာကြည့်စားပွဲခုံ၊ ထမင်းစားရန်ခုံ
5966,tēpurekōdā,テープレコーダー,tape recorder,အသံဖမ်းစက်
5967,tēma,テーマ,thema,ခေါင်းစဥ်
5968,teokure,ておくれ,手遅れ,လက်လျော့ခြင်း၊ နောက်ကျခြင်း၊ ဆေးမမှီခြင်း
5969,dekai,でかい,,ကြီးသော
5970,tegakari,てがかり,手掛かり,သဲလွန်စ
5971,tegakeru,てがける,手掛ける,ကိုယ်တိုင်ဆောင်ရွက်သည်
5972,dekakeru,でかける,出かける,အပြင်ထွက်သည်
5973,tesuu/tekazu,てすう／てかず,手数,လိုအပ်သောလုပ်အားနှင့်အချိန်
5974,tegami,てがみ,手紙,စာ
5975,tegaru(na),てがる（な）,手軽（な）,အလုပ်မရှုပ်သော၊ လွယ်ကူသော
5976,teki,てき,敵,ရန်သူ
5977,teki,てき,的,~ဆိုင်သော
5978,dekiagari,できあがり,出来上り,ပြီးပြီးပြီးမြောက်ခြင်း
5979,dekinoboru,できのぼる,出来上る,ပြီးမြောက်သည်
5980,tekiō(suru),てきおう（する）,適応（する）,လိုက်လျောညီစေခြင်း
5981,tekikaku/tekikaku(na),てきかく／てきかく（な）,的確／適格（な）,မှန်ကန်တိကျသော
5982,tekigi,てきぎ,適宜,အခါအားလျော်စွာ၊ အဆင်ပြေအောင်
5983,dekigoto,できごと,出来事,အဖြစ်အပျက်
5984,tekisuto,テキスト,,ကျောင်းသုံးစာအုပ်
5985,tekisuru,てきする,適する,ကိုက်ညီသည်၊ သင့်တော်သည်၊ သင့်လျော်သည်
5986,tekisei,てきせい,適性,အကျင့်စာရိတ္တနှင့်သင့်လျော်ခြင်း
5987,tekisetsu(na),てきせつ（な）,適切（な）,သင့်လျော်သော
5988,tekichū(suru),てきちゅう（する）,的中（する）,ထိမှန်ခြင်း
5989,tekido(na),てきど（な）,適度（な）,အသင့်အတင့်ဖြစ်သော
5990,tekitō(na),てきとう（な）,適当（な）,သင့််တော်သော၊ ဖြစ်သလို
5991,dekimono,できもの,,အနာပေါက်ခြင်း၊ အဖု
5992,tekiyō(suru),てきよう（する）,適用（する）,အသုံးချခြင်း
5993,dekiru(eigoga),できる（えいごが）,出来る（英語が）,လုပ််နိုင်သည်၊ တက်နိုင်သည်
5994,dekiru(misega),できる（みせが）,出来る（店が）,ဆိုင်ကပေါ်ပေါက်လာသည်
5995,dekirudake,できるだけ,出来るだけ,တက်နိုင်သလောက်
